Timestamp,Voltage
2026-01-12T20:25:09.086391,1.30000E+01
2026-01-12T20:25:09.099222,1.30000E+01
2026-01-12T20:25:09.111245,1.30000E+01
2026-01-12T20:25:09.124352,1.30000E+01
2026-01-12T20:25:09.136629,1.30000E+01
2026-01-12T20:25:09.150456,1.30000E+01
2026-01-12T20:25:09.162331,1.30000E+01
2026-01-12T20:25:09.175594,1.30000E+01
2026-01-12T20:25:09.191396,1.30000E+01
2026-01-12T20:25:09.205730,1.30000E+01
2026-01-12T20:25:09.218285,1.30000E+01
2026-01-12T20:25:09.230308,1.30000E+01
2026-01-12T20:25:09.242749,1.30000E+01
2026-01-12T20:25:09.256483,1.30000E+01
2026-01-12T20:25:09.278676,1.30000E+01
2026-01-12T20:25:09.393642,1.30000E+01
2026-01-12T20:25:09.481096,1.30000E+01
2026-01-12T20:25:09.534202,1.30000E+01
2026-01-12T20:25:09.576696,1.30000E+01
2026-01-12T20:25:09.589869,1.30000E+01
2026-01-12T20:25:09.602155,1.30000E+01
2026-01-12T20:25:09.614240,1.30000E+01
2026-01-12T20:25:09.626193,1.30000E+01
2026-01-12T20:25:09.638948,1.30000E+01
2026-01-12T20:25:09.655079,1.30000E+01
2026-01-12T20:25:09.669184,1.30000E+01
2026-01-12T20:25:09.681420,1.30000E+01
2026-01-12T20:25:09.694379,1.30000E+01
2026-01-12T20:25:09.708262,1.30000E+01
2026-01-12T20:25:09.722500,1.30000E+01
2026-01-12T20:25:09.736635,1.30000E+01
2026-01-12T20:25:09.750779,1.30000E+01
2026-01-12T20:25:09.762910,1.30000E+01
2026-01-12T20:25:09.775050,1.30000E+01
2026-01-12T20:25:09.788226,1.30000E+01
2026-01-12T20:25:09.800628,1.30000E+01
2026-01-12T20:25:09.815208,1.30000E+01
2026-01-12T20:25:09.831743,1.30000E+01
2026-01-12T20:25:09.846939,1.30000E+01
2026-01-12T20:25:09.860339,1.30000E+01
2026-01-12T20:25:09.878505,1.30000E+01
2026-01-12T20:25:09.891433,1.30000E+01
2026-01-12T20:25:09.907988,1.30000E+01
2026-01-12T20:25:09.921385,1.30000E+01
